Year,Region,Country,Brand,EV_Sales,Charging_Stations,Market_Share
2021,North America,USA,BMW,56710,8777,22.22
2020,Asia,China,BYD,28234,3704,2.32
2022,Oceania,New Zealand,Hyundai,36719,3279,20.13
2025,Africa,South Africa,Kia,67472,11669,19.83
2023,Africa,South Africa,Tesla,56313,14007,7.09
2019,Europe,Norway,BMW,11507,1416,5.76
2015,Oceania,New Zealand,Tesla,28841,4628,21.99
2017,Europe,Germany,Volkswagen,97050,11216,14.41
2024,Europe,France,BMW,49911,11249,2.1
2022,Europe,Norway,Rivian,73587,16404,22.38
2025,Asia,India,Hyundai,79149,6787,9.38
2020,North America,Mexico,Kia,48931,11253,9.21
2022,Africa,South Africa,Hyundai,5341,428,16.44
2023,Asia,South Korea,Hyundai,41229,2848,16.87
2018,North America,USA,BMW,83138,15013,9.48
2015,Africa,Egypt,Nissan,85147,10829,4.44
2015,Oceania,New Zealand,Kia,77129,12043,14.25
2024,Africa,South Africa,Tesla,73582,13282,16
2018,Africa,South Africa,Nissan,58304,3531,21.65
2021,Africa,Egypt,Nissan,97835,10623,12.63
2016,South America,Chile,BYD,52506,7465,16.5
2017,Oceania,New Zealand,Volkswagen,22084,2281,2.31
2015,Asia,China,Tesla,61091,3652,22.47
2019,Asia,South Korea,BMW,19861,1337,8.85
2015,North America,Canada,Volkswagen,80520,16937,16.17
2022,Asia,South Korea,Rivian,48371,11235,22.99
2015,Europe,Norway,BYD,14601,1174,20.45
2025,Africa,Egypt,BYD,43274,4321,16.3
2015,Asia,India,Volkswagen,43201,7795,17.89
2016,North America,Mexico,Rivian,13761,3314,23.1
2016,North America,Canada,Hyundai,13709,1506,20.49
2020,Europe,Sweden,BMW,29147,6442,15.64
2021,North America,Canada,Nissan,8721,1318,16.81
2019,South America,Brazil,Rivian,48333,11663,4.53
2015,Africa,Egypt,Rivian,85913,6636,12.28
2015,Africa,South Africa,Kia,26057,6377,8.22
2017,Africa,South Africa,Nissan,99034,13686,11.37
2016,Oceania,New Zealand,Rivian,8026,1930,16.89
2019,Asia,China,Nissan,1751,248,4.58
2024,South America,Chile,Hyundai,33088,5162,1.42
2020,Asia,Japan,Nissan,54992,11600,10.53
2021,South America,Chile,Tesla,7389,1437,8.73
2018,Asia,China,Nissan,94802,16488,11.09
2021,Europe,Norway,Nissan,29646,3954,23.35
2025,North America,Canada,Rivian,52818,11011,17.97
2022,North America,Canada,Rivian,74088,17754,8.86
2025,Europe,Germany,Tesla,98584,5122,5.3
2015,South America,Chile,Hyundai,38138,6390,15.84
2020,Oceania,Australia,BYD,1647,367,16.78
2022,South America,Brazil,BMW,3347,604,12.61
2019,North America,Canada,Hyundai,86270,18131,6.11
2018,Oceania,New Zealand,Rivian,60835,13931,1.69
2016,Asia,China,Nissan,85490,17114,7.38
2020,Oceania,Australia,BYD,33888,6554,11.97
2020,South America,Brazil,BMW,64847,15754,19.91
2025,Europe,France,BMW,99767,22221,21.49
2015,Asia,China,BMW,40483,8625,10.91
2023,South America,Brazil,Rivian,44320,2981,20.11
2025,Asia,Japan,Tesla,26576,2599,24.84
2020,Oceania,New Zealand,Tesla,31252,5042,18.2
2017,North America,Mexico,BYD,61033,11712,18.49
2018,South America,Brazil,Nissan,16503,1825,22.83
2025,Europe,Norway,Volkswagen,73454,5043,9.12
2018,Oceania,Australia,BYD,18210,2043,1.27
2017,South America,Chile,Nissan,66157,13509,24.69
2024,Europe,France,Hyundai,37581,8473,12.77
2017,South America,Brazil,Rivian,50728,11798,19.86
2017,Oceania,Australia,Volkswagen,93809,11798,20.5
2018,South America,Brazil,BMW,83602,10409,10.54
2021,Asia,China,BMW,99598,13081,13.99
2018,Oceania,Australia,Tesla,21155,2647,13.96
2023,South America,Chile,Rivian,8983,1646,6.29
2015,North America,Canada,Volkswagen,98724,12011,3.82
2022,South America,Brazil,Hyundai,40594,2194,14.05
2021,Asia,India,Kia,41950,5780,3.88
2016,Europe,Germany,Hyundai,25709,2437,9.31
2022,Europe,Germany,Nissan,46816,2610,5.47
2015,Europe,France,Hyundai,19056,2747,17.97
2025,North America,Canada,Volkswagen,28462,2595,21.93
2023,Asia,China,Volkswagen,16138,2268,14.87
2023,Oceania,New Zealand,Tesla,39254,4143,10.84
2016,Europe,Norway,Nissan,87119,14874,24.92
2021,Asia,Japan,BYD,73117,18145,1.51
2024,South America,Chile,Nissan,54876,8749,8.3
2017,North America,Canada,BYD,13853,2484,7.69
2021,Asia,India,Kia,85888,20085,9.55
2024,Asia,India,Nissan,71796,8960,6.53
2023,Oceania,Australia,BMW,14271,1188,7.34
2018,Asia,Japan,Kia,66526,7088,7.18
2015,Oceania,Australia,BYD,4763,621,13.14
2016,North America,Mexico,Tesla,8269,1480,10.39
2015,North America,Canada,Kia,25834,1315,16.34
2019,South America,Chile,Kia,83617,18452,13.35
2019,Oceania,New Zealand,Kia,33249,2168,5.4
2025,Oceania,Australia,BYD,12135,2792,20.44
2021,Europe,UK,Rivian,65610,15738,12.33
2023,Europe,Sweden,BYD,2404,596,4.68
2023,South America,Brazil,Nissan,71305,15109,5.01
2017,North America,Canada,BMW,31468,2466,20.13
2017,Africa,Egypt,Kia,2150,411,17.87
2017,Europe,Germany,Nissan,12967,1175,13.16
2018,Asia,South Korea,Nissan,98831,22674,8.35
2022,North America,Mexico,BMW,47400,5371,12.05
2020,Africa,South Africa,Rivian,88680,10230,16.28
2022,Asia,China,Nissan,36018,8411,22.1
2015,Oceania,Australia,Rivian,93316,4912,14.34
2022,North America,Canada,BMW,68915,6119,7.64
2018,South America,Brazil,Tesla,4857,652,2.03
2025,Oceania,Australia,BMW,94337,17937,5.21
2015,Oceania,New Zealand,Hyundai,11365,2040,16.6
2022,Asia,India,BMW,68868,12663,4.85
2018,Oceania,Australia,BMW,94904,21448,12.56
2020,Europe,Germany,Volkswagen,61539,4566,17.77
2022,North America,Mexico,Hyundai,97439,15047,8.4
2018,Europe,UK,BMW,71794,14006,17.06
2017,Asia,India,BYD,3421,606,14.95
2023,Africa,Egypt,Rivian,4928,688,11.53
2017,Asia,Japan,Volkswagen,74147,3961,22.53
2023,North America,Mexico,Nissan,89283,5543,17.61
2016,Oceania,Australia,Nissan,53057,3914,9.65
2016,South America,Brazil,Tesla,96483,11447,20.3
2016,Asia,South Korea,Tesla,12866,946,18.71
2020,North America,USA,Hyundai,47423,6412,20
2017,South America,Chile,BYD,31064,2663,16.38
2023,Oceania,Australia,Tesla,76011,15645,10.1
2018,Africa,South Africa,Nissan,3142,704,9.37
2015,Asia,India,Tesla,14349,1835,16.7
2018,Africa,South Africa,Tesla,19844,3021,4.14
2015,North America,Canada,BMW,21714,5226,20.68
2019,Africa,South Africa,Tesla,38726,6083,9.89
2018,Africa,South Africa,Rivian,92191,22956,16.13
2022,North America,Mexico,Hyundai,23022,1805,12.98
2022,North America,USA,Rivian,7180,1597,13.46
2021,Asia,India,Nissan,13007,1943,18.71
2017,Africa,South Africa,Hyundai,75455,4115,16.04
2015,South America,Chile,Volkswagen,49507,12101,7.01
2015,North America,USA,Hyundai,49853,12114,2.78
2025,Oceania,New Zealand,Kia,88595,11220,21.17
2017,Africa,South Africa,BYD,69196,16664,22.24
2020,North America,Mexico,Volkswagen,44733,3498,4.95
2021,South America,Brazil,Volkswagen,51365,9555,8.43
2020,Asia,India,Kia,8372,739,7.78
2020,Africa,South Africa,Kia,8339,828,23.5
2020,North America,USA,BMW,16152,3325,5.91
2017,North America,Canada,Hyundai,7359,923,5
2020,Oceania,Australia,BYD,34020,1749,5.36
2022,Oceania,New Zealand,Nissan,79340,10540,18.52
2025,Africa,South Africa,Nissan,49766,4758,22.31
2025,North America,USA,BYD,70016,13069,10.44
2016,Africa,Egypt,Volkswagen,39593,3519,4.27
2019,North America,USA,Hyundai,52470,11462,15.06
2015,Oceania,New Zealand,Rivian,50120,5183,6.04
2015,South America,Brazil,Hyundai,925,118,2.54
2019,Europe,Germany,BMW,74177,8130,22.27
2017,Europe,Norway,BMW,51227,9158,21.9
2018,North America,Mexico,Kia,76093,5344,24.42
2017,Oceania,New Zealand,Nissan,50485,7351,12.38
2015,Asia,India,BMW,97839,11436,8.06
2015,Asia,China,BYD,47584,10793,19.47
2019,Europe,France,Nissan,70142,4536,5.33
2020,South America,Chile,Volkswagen,86123,18597,6.84
2017,Europe,Norway,Rivian,1908,159,7.14
2023,North America,Mexico,Volkswagen,85901,5816,23.84
2019,South America,Chile,Hyundai,55837,5051,18.52
2022,Asia,Japan,Nissan,40112,2829,4.21
2015,Oceania,New Zealand,Tesla,39663,6115,3.23
2019,Oceania,Australia,Nissan,16343,4047,21.23
2017,North America,USA,BMW,49864,2835,20.25
2015,Europe,UK,Rivian,28977,4121,17.1
2018,North America,Mexico,BYD,98493,12529,5.71
2019,Oceania,Australia,Hyundai,61582,7261,12.53
2021,Asia,India,Hyundai,27830,3238,15.47
2015,Oceania,New Zealand,BMW,95247,21811,23.37
2017,South America,Chile,BMW,38069,2047,5.07
2016,Africa,South Africa,BMW,98703,20232,13.37
2023,Oceania,New Zealand,Tesla,48614,4889,4.79
2024,Oceania,Australia,BYD,67794,8586,11.65
2020,Africa,South Africa,Tesla,64606,8659,5.8
2024,South America,Brazil,BMW,39048,4332,21.07
2017,Europe,Norway,BYD,63098,4335,7.11
2022,Oceania,Australia,Volkswagen,95205,6937,11.01
2022,North America,Canada,Volkswagen,11760,1289,10.79
2016,Oceania,Australia,BMW,32850,7041,21.79
2020,North America,Canada,BYD,42241,3249,19.19
2021,South America,Brazil,Rivian,98714,19597,2.38
2016,Oceania,Australia,Hyundai,45681,4923,2.61
2025,South America,Chile,Tesla,83946,19029,14.23
2024,South America,Brazil,Kia,1340,181,11.27
2016,Europe,Germany,BMW,62922,5307,7.61
2024,Oceania,New Zealand,BMW,18225,4504,20.02
2015,North America,Canada,Nissan,12799,1092,4.09
2022,North America,Canada,Kia,51152,8364,24.38
2015,Oceania,Australia,Rivian,96025,15734,1.58
2023,Africa,South Africa,Hyundai,90541,11278,3.84
2025,Europe,France,BMW,71595,17204,8.47
2020,Europe,Norway,Rivian,33097,7240,13.22
2021,Europe,France,Tesla,9207,1988,6.19
2024,North America,Mexico,Hyundai,49443,12105,18.67
2021,South America,Chile,BMW,64303,9093,9.58
2024,Africa,South Africa,Tesla,94055,6530,1.92
2017,Europe,Sweden,Nissan,88877,18050,22.07
2016,North America,USA,Nissan,85676,10809,23.65
2023,North America,USA,Volkswagen,98662,8689,15.85
2022,South America,Chile,Tesla,75776,11112,20.36
2024,Oceania,Australia,Hyundai,3655,859,3.91
2021,Oceania,New Zealand,Tesla,24072,2028,7.45
2023,Europe,UK,Kia,60194,13227,8.81
2018,Europe,Norway,Tesla,67014,8955,24.06
2018,Africa,Egypt,Nissan,76533,5920,13.29
2015,South America,Brazil,Nissan,45343,9960,1.18
2022,Europe,Norway,Nissan,85467,20847,10.12
2017,South America,Brazil,Kia,35857,3881,1.19
2021,North America,Canada,BMW,23667,2620,6.71
2016,Europe,UK,Volkswagen,71978,9221,11.91
2016,North America,Canada,Kia,19483,4146,8.76
2021,Asia,India,BMW,35776,1863,1.79
2020,South America,Brazil,Kia,45779,4339,3.79
2017,Asia,Japan,BYD,59983,11467,14.22
2023,Europe,Norway,BMW,83613,10963,17.69
2024,North America,USA,Hyundai,71951,8350,10.71
2020,Europe,UK,Hyundai,92369,20732,18.56
2024,Asia,China,Volkswagen,2545,594,4.92
2024,Europe,Germany,Rivian,90216,21615,3.93
2020,Africa,South Africa,Nissan,42844,4477,21.15
2015,Oceania,New Zealand,Kia,10064,2339,9.14
2018,Asia,Japan,Tesla,11605,2290,11.37
2024,Europe,Germany,Nissan,57254,4628,23.74
2020,North America,Mexico,Volkswagen,20556,3536,11.18
2020,Europe,UK,Tesla,64065,3540,1.08
2025,North America,Canada,Kia,48189,9236,23.51
2019,Oceania,Australia,Nissan,32635,6419,1.34
2015,Europe,Germany,Nissan,33312,6924,16.89
2022,Oceania,Australia,Rivian,70547,5961,8.75
2019,Asia,Japan,Rivian,23272,4087,12.29
2019,North America,Canada,Hyundai,81457,6986,14.13
2021,Africa,Egypt,Tesla,93152,22294,10.8
2018,Asia,China,BYD,8275,1530,19.58
2020,North America,USA,BYD,92982,6421,23.34
2018,Oceania,New Zealand,Nissan,55023,4809,3.07
2017,South America,Chile,Rivian,11207,2047,20.21
2021,Europe,UK,Kia,13872,2016,4.09
2022,Oceania,Australia,Nissan,95850,18907,2.93
2018,North America,USA,Volkswagen,62026,6584,23.94
2016,North America,Mexico,Hyundai,65606,11912,12.74
2024,North America,Mexico,Rivian,88643,7569,4.66
2017,North America,USA,Volkswagen,53975,8568,14.68
2015,Europe,France,Tesla,57701,13938,7.32
2022,Asia,India,Volkswagen,28457,4998,12.14
2017,Africa,South Africa,Rivian,96314,5778,15.99
2024,South America,Brazil,Nissan,56743,14058,21.86
2021,Europe,UK,Volkswagen,74252,6042,1.07
2024,North America,Canada,Kia,76042,14722,6.14
2019,Europe,Norway,BYD,34493,5398,3.31
2024,Oceania,New Zealand,Tesla,34516,3757,3.33
2019,Africa,South Africa,Nissan,25854,2209,23.7
2021,North America,Canada,Tesla,49137,4203,23.47
2023,South America,Brazil,Rivian,85262,18900,18.98
2019,North America,Mexico,Hyundai,84002,18865,16.43
2015,Africa,South Africa,Volkswagen,5348,764,21.35
2024,South America,Chile,BYD,43173,3053,2.4
2024,Africa,South Africa,Kia,12283,2786,3.87
2015,South America,Chile,Tesla,65194,9609,8.61
2016,Asia,South Korea,BYD,62365,8590,20.98
2020,Asia,India,Volkswagen,54407,7152,12.33
2023,Europe,Norway,Nissan,51169,6293,13.09
2022,Europe,Germany,Rivian,11424,1773,6.5
2019,South America,Brazil,Kia,70678,12079,16.56
2015,North America,Mexico,Kia,71232,10206,22.31
2021,Oceania,New Zealand,BMW,77191,17702,8.91
2019,Oceania,New Zealand,Tesla,78091,8865,15.86
2020,North America,USA,Rivian,20652,3421,8.97
2021,North America,Mexico,BYD,8572,942,20.03
2017,Asia,India,Tesla,82001,16455,12.4
2024,Oceania,Australia,Nissan,45187,3182,9.15
2017,South America,Chile,Nissan,98026,8600,11.08
2019,Africa,South Africa,Rivian,22442,4718,3.19
2020,Europe,Norway,Volkswagen,47917,4151,21.79
2023,Africa,Egypt,Kia,92879,16267,23.99
2019,Asia,Japan,Rivian,61759,15072,12.46
2015,Oceania,Australia,Kia,5990,925,6.31
2018,North America,Canada,BYD,22219,1943,16.95
2019,Oceania,Australia,Hyundai,49700,5672,11.86
2024,South America,Brazil,Tesla,39184,8412,7.06
2024,Asia,South Korea,Tesla,19394,2333,1.92
2019,North America,Mexico,Nissan,31337,6101,22.35
2021,Africa,South Africa,Tesla,53312,10954,20.12
2018,South America,Chile,BYD,67782,10183,20.9
2015,Africa,Egypt,BMW,91107,18826,11.56
2019,Europe,Norway,Rivian,74206,8413,19.08
2021,Asia,India,Kia,99437,15236,14.95
2024,South America,Chile,Nissan,56632,10607,9.99
2024,South America,Chile,Rivian,78925,6599,21.23
2020,Africa,Egypt,Kia,60661,6352,24.97
2019,North America,USA,Kia,19604,3536,22.58
2018,Europe,Germany,Kia,15640,2831,19.63
2016,Africa,South Africa,BMW,93772,13940,18.94
2018,South America,Chile,Rivian,8652,1809,16.61
2024,Asia,Japan,Tesla,48986,7172,21.49
2024,South America,Chile,Hyundai,85777,19408,12.83
2017,Oceania,Australia,Kia,38647,7620,5.36
2024,Asia,India,BYD,88390,9982,19.43
2015,Asia,South Korea,Kia,9166,1182,23.07
2022,South America,Brazil,Kia,94439,17333,9.19
2019,North America,Mexico,Rivian,35226,8062,19.79
2018,Asia,Japan,Tesla,49189,4217,7.57
2022,Oceania,Australia,Volkswagen,46616,7129,23.62
2021,Africa,South Africa,BYD,71920,5304,17.4
2016,North America,Mexico,Tesla,78348,8296,14.66
2015,North America,Mexico,Kia,86034,16105,19.72
2025,North America,USA,Rivian,4320,283,20.52
2018,Asia,Japan,Volkswagen,4822,879,22.42
2022,North America,USA,Tesla,38735,8915,22.63
2016,South America,Chile,Tesla,60461,14744,2.26
2017,North America,Canada,Nissan,50856,4746,3.95
2015,Oceania,Australia,BMW,25423,5078,20.83
2015,Europe,Norway,Volkswagen,88978,20934,23.71
2017,Oceania,New Zealand,Hyundai,34250,2338,8.38
2025,Asia,China,Volkswagen,98369,13063,1.21
2019,North America,USA,BMW,88948,20803,8.74
2017,North America,Mexico,BMW,22483,2036,10.19
2015,South America,Brazil,BYD,88110,20860,19.26
2015,Africa,South Africa,Nissan,6405,995,2.14
2022,North America,Mexico,Nissan,55983,3917,6.1
2024,Oceania,New Zealand,Tesla,25528,3573,22.46
2025,Asia,Japan,BMW,70109,8080,4.72
2016,Europe,UK,Volkswagen,52546,5593,19.22
2017,North America,Canada,Hyundai,2734,432,9.67
2016,Europe,Germany,BYD,81309,11929,16.9
2017,North America,USA,Volkswagen,73667,10784,2.77
2021,Asia,South Korea,Nissan,55511,3754,7.88
2015,Africa,Egypt,Tesla,12561,2643,11.19
2024,Oceania,Australia,Hyundai,49753,7278,21.57
2022,Asia,Japan,BMW,89854,19245,14.52
2024,Europe,Germany,Rivian,45167,9707,2.09
2024,North America,USA,Rivian,89740,10178,20.24
2024,Europe,Sweden,Volkswagen,59296,3016,2.31
2016,Oceania,New Zealand,Hyundai,95398,22156,23.42
2017,Asia,India,Rivian,64565,13051,6.08
2023,Europe,France,Nissan,76886,5493,12.71
2021,Europe,UK,Rivian,31138,5926,2.73
2018,Oceania,New Zealand,BYD,82955,4479,14.48
2024,North America,Mexico,Volkswagen,24384,1354,12.93
2019,Europe,Germany,Rivian,97516,15131,10.85
2016,Oceania,Australia,BMW,31197,2159,1.85
2025,North America,Mexico,BYD,84120,20429,22.09
2022,Africa,South Africa,Kia,96337,22038,20.26
2018,North America,Mexico,Rivian,7614,1370,16.19
2023,Africa,South Africa,Rivian,31050,1948,14.73
2019,Asia,Japan,Hyundai,7969,916,17.68
2023,Oceania,New Zealand,Rivian,48271,6002,4.46
2018,North America,Mexico,Rivian,6992,1022,23.38
2024,Africa,South Africa,Hyundai,2471,207,7.83
2019,Africa,South Africa,Tesla,46850,7753,16.76
2023,Asia,India,BMW,10144,1391,15.56
2022,South America,Brazil,Hyundai,92205,22079,16.28
2017,Oceania,New Zealand,Nissan,64694,15347,22.09
2015,South America,Chile,Kia,83132,13558,8.1
2017,North America,Mexico,Nissan,13034,2331,18.97
2018,Oceania,New Zealand,BYD,13268,1029,15.36
2016,Asia,India,Kia,23125,2189,2.83
2015,North America,USA,Rivian,29160,6710,10.94
2021,Oceania,Australia,Kia,90180,17119,21.11
2022,Oceania,Australia,Nissan,75676,6650,8.57
2021,South America,Brazil,Rivian,20532,3368,12.57
2019,North America,Canada,Hyundai,65435,15504,12.73
2015,Asia,India,Nissan,38392,4569,15.83
2021,Asia,China,BMW,92625,8073,22.22
2021,North America,Mexico,BYD,74686,17805,5.16
2023,North America,Mexico,Volkswagen,68879,9798,13.11
2017,Africa,Egypt,Kia,24857,3317,11.18
2023,Europe,Germany,Rivian,83012,8592,8.1
2015,South America,Chile,BMW,997,227,23.07
2015,North America,Canada,Hyundai,2634,577,1.2
2018,North America,Canada,Hyundai,19333,2524,3.93
2023,Europe,Sweden,Nissan,71448,4009,18.6
